UUID|Id|InPool|Name|Cost|Level|Attack|Health|Game Text|Golden or regular|Type|Subtypes|Keywords
1|SBB_CHARACTER_FROGPRINCE|False|Frog Prince|2|2|5|5||Regular|Character|Good - Animal - Royal|
2|GOLDEN_SBB_CHARACTER_FROGPRINCE|False|Frog Prince|2|2|10|10||Golden|Character|Good - Animal - Royal|
3|SBB_CHARACTER_SHEEP|False|Sheep|1|1|1|1||Regular|Character|Good - Animal|
4|GOLDEN_SBB_CHARACTER_SHEEP|False|Sheep|1|1|2|2||Golden|Character|Good - Animal|
5|SBB_CHARACTER_SHEEP_GOLDEN|False|Sheep|1|1|2|2||Regular|Character|Good - Animal|
6|GOLDEN_SBB_CHARACTER_SHEEP_GOLDEN|False|Sheep|1|1|4|4||Golden|Character|Good - Animal|
7|SBB_CHARACTER_TWEEDLEDUM|False|Tweedle Dum|1|1|0|0||Regular|Character|Dwarf|
8|GOLDEN_SBB_CHARACTER_TWEEDLEDUM|False|Tweedle Dum|1|1|0|0||Golden|Character|Dwarf|
9|SBB_CHARACTER_PIG|False|Pig|1|1|10|10||Regular|Character|Animal|
10|GOLDEN_SBB_CHARACTER_PIG|False|Pig|1|1|20|20||Golden|Character|Animal|
11|SBB_CHARACTER_STATUE|False|Statue|1|1|0|6||Regular|Character||
12|GOLDEN_SBB_CHARACTER_STATUE|False|Statue|1|1|0|12||Golden|Character||
13|SBB_CHARACTER_GOLDENSTATUE|False|Statue|1|1|0|3||Regular|Character||
14|GOLDEN_SBB_CHARACTER_GOLDENSTATUE|False|Statue|1|1|0|6||Golden|Character||
15|SBB_CHARACTER_AWOKENPRINCESS|False|Awoken Princess|3|3|8|8||Regular|Character|Good - Royal|
16|GOLDEN_SBB_CHARACTER_AWOKENPRINCESS|False|Awoken Princess|3|3|16|16||Golden|Character|Good - Royal|
17|SBB_CHARACTER_CAT|False|Cat|1|1|1|1||Regular|Character|Evil - Animal|
18|GOLDEN_SBB_CHARACTER_CAT|False|Cat|1|1|2|2||Golden|Character|Evil - Animal|
19|SBB_CHARACTER_CAT_GOLDEN|False|Cat|1|1|2|2||Regular|Character|Evil - Animal|
20|GOLDEN_SBB_CHARACTER_CAT_GOLDEN|False|Cat|1|1|4|4||Golden|Character|Evil - Animal|
21|SBB_CHARACTER_EVILWOLF|False|Evil Sheep|1|1|6|6||Regular|Character|Evil - Animal|
22|GOLDEN_SBB_CHARACTER_EVILWOLF|False|Evil Sheep|1|1|12|12||Golden|Character|Evil - Animal|
23|SBB_CHARACTER_EVILWOLF_GOLDEN|False|Evil Sheep|1|1|12|12||Regular|Character|Evil - Animal|
24|GOLDEN_SBB_CHARACTER_EVILWOLF_GOLDEN|False|Evil Sheep|1|1|24|24||Golden|Character|Evil - Animal|
25|SBB_CHARACTER_PIGGY|False|Big Pig|1|1|3|3||Regular|Character|Evil - Animal|
26|GOLDEN_SBB_CHARACTER_PIGGY|False|Big Pig|1|1|6|6||Golden|Character|Evil - Animal|
27|SBB_CHARACTER_PIGGY_GOLDEN|False|Big Pig|1|1|6|6||Regular|Character|Evil - Animal|
28|GOLDEN_SBB_CHARACTER_PIGGY_GOLDEN|False|Big Pig|1|1|12|12||Golden|Character|Evil - Animal|
29|SBB_CHARACTER_PAPABEAR|False|Papa Bear|1|1|4|4|<b>Last Breath</b>: Summon a 6/6 Mama Bear.|Regular|Character|Good - Animal|LastBreath
30|GOLDEN_SBB_CHARACTER_PAPABEAR|False|Papa Bear|1|1|8|8|<b>Last Breath</b>: Summon a 12/12 Mama Bear.|Golden|Character|Good - Animal|LastBreath
31|SBB_CHARACTER_PAPABEAR_GOLDEN|False|Papa Bear|1|1|8|8|<b>Last Breath</b>: Summon a 12/12 Mama Bear.|Regular|Character|Good - Animal|LastBreath
32|GOLDEN_SBB_CHARACTER_PAPABEAR_GOLDEN|False|Papa Bear|1|1|16|16|<b>Last Breath</b>: Summon a 24/24 Mama Bear.|Golden|Character|Good - Animal|LastBreath
33|SBB_CHARACTER_MAMABEAR|False|Mama Bear|1|1|6|6||Regular|Character|Good - Animal|
34|GOLDEN_SBB_CHARACTER_MAMABEAR|False|Mama Bear|1|1|12|12||Golden|Character|Good - Animal|
35|SBB_CHARACTER_MAMABEAR_GOLDEN|False|Mama Bear|1|1|12|12||Regular|Character|Good - Animal|
36|GOLDEN_SBB_CHARACTER_MAMABEAR_GOLDEN|False|Mama Bear|1|1|24|24||Golden|Character|Good - Animal|
37|SBB_CHARACTER_CAPTAINCROC|False|Captain Croc|6|6|10|10|<b>Last Breath:</b> Summon the character I swallowed.|Regular|Character|Evil - Animal|LastBreath
38|GOLDEN_SBB_CHARACTER_CAPTAINCROC|False|Captain Croc|6|6|20|20|<b>Last Breath:</b> Summon all the characters I've swallowed.|Golden|Character|Evil - Animal|LastBreath
39|SBB_TREASURE_EASTEREGG|False|Easter Egg|2|2|0|0|Your Upgraded characters have +3/+3.When you win a brawl, give your surviving characters +1/+1 permanently.|Regular|Treasure||
40|SBB_HERO_BIGBADWOLF|False|Big Bad Wolf|0|2|0|50|Your characters have +5/+5.|Regular|Hero||
41|SBB_HERO_MAIDMARIAN3|False|Snow Angel|0|2|0|40|Buy 3 Good characters to get a level 3 Good character, then increase this ability by one.|Regular|Hero||
42|SBB_HERO_MAIDMARIAN4|False|Snow Angel|0|2|0|40|Buy 4 Good characters to get a level 4 Good character, then increase this ability by one.|Regular|Hero||
43|SBB_HERO_MAIDMARIAN5|False|Snow Angel|0|2|0|40|Buy 5 Good characters to get a level 5 Good character, then increase this ability by one.|Regular|Hero||
44|SBB_HERO_MAIDMARIAN6|False|Snow Angel|0|2|0|40|Buy 6 Good characters to get a level 6 Good character.|Regular|Hero||
45|TST_CHARACTER_TEST_DUMMY|False|Test Dummy|1|1|1|1|I'm a vanilla character for tests, and I can't be tripled.|Regular|Character||
46|GOLDEN_TST_CHARACTER_TEST_DUMMY|False|Test Dummy|1|1|2|2|I'm a vanilla character for tests, and I can't be tripled.|Golden|Character||
47|TST_HERO_ZERO|False|Hero Zero|0|2|0|40|I'm a vanilla hero for tests, with no power.|Regular|Hero||
48|TST_TEST_SPELL|False|Test Spell|0|1|0|0|This test spell does nothing but increase internal counters.|Regular|Spell||
49|SBB_HERO_MRSCLAUS|True|Mrs. Claus|0|1|0|40|Your Good characters have +1/+1.|Regular|Hero||
50|SBB_HERO_KRAMPUS|True|Krampus|0|1|0|40|Your Evil characters have +1/+1.|Regular|Hero||
51|SBB_HERO_GEPETTO|True|Geppetto|0|1|0|40|When you summon a character during a brawl, give it Attack and Health equal to your level.|Regular|Hero||
52|SBB_HERO_GANDALF|True|Pup the Magic Dragon|0|1|0|40|Your characters with <b>Support</b> give an additional +2/+1.|Regular|Hero||Support
53|SBB_HERO_SIRPIPS-A-LOT|True|Jack's Giant|0|1|0|40|Characters in your front row have +2 Health.|Regular|Hero||
54|SBB_HERO_HORDEDRAGON|True|Hoard Dragon|0|1|0|40|When you pick a treasure, your choices are all 1 level higher.|Regular|Hero||
55|SBB_HERO_FATE|True|The Fates|0|1|0|40|Your Upgraded characters have +3/+3.The first character you buy is destined to Upgrade.|Regular|Hero||
56|SBB_HERO_MERLIN|True|Merlin|0|1|0|40|When you cast a spell, give a random character +1/+1 permanently.|Regular|Hero||
57|SBB_HERO_MUERTE|True|Muerte|0|2|0|45|Double your first <b>Last Breath</b> ability each brawl.|Regular|Hero||LastBreath
58|SBB_HERO_MORDRED|True|Mordred|0|2|0|45|The first time one of your characters dies each brawl, summon the highest Attack character from your hand.|Regular|Hero||
59|SBB_HERO_MADCATTER|True|Mad Catter|0|2|0|40|When you roll, add Attack and Health equal to your level to a random character in your shop.|Regular|Hero||
60|SBB_HERO_THEGREEDCURSED|True|The Cursed King|0|2|0|40|+1 Gold each round, but you take 3 damage if you don't buy a spell.|Regular|Hero||
61|SBB_HERO_PRINCESSBELLE|True|Beauty|0|2|0|45|All your characters are Good. Your abilities that affect Evil characters affect Good characters.|Regular|Hero||
62|SBB_HERO_POTIONMASTER|True|Potion Master|0|2|0|40|Your shop sells an extra spell.When you cast a spell directly on a character, give it +1/+1 permanently.|Regular|Hero||
63|SBB_HERO_PETERPAN|True|Peter Pants|0|2|0|40|You start at level 3 and never grow up! Characters in your shop have +1/+1 for each time you would have leveled.|Regular|Hero||
64|SBB_HERO_DARKONE|True|Evella|0|2|0|40|Your Evil characters have +1 Attack. They have an additional +1 Attack for each of your Animals that died this brawl.|Regular|Hero||
65|SBB_HERO_PIEDPIPER|True|Pied Piper|0|2|0|40|Your shop sells an extra Animal with +1/+1.|Regular|Hero||
66|SBB_HERO_DRACULA|True|Sad Dracula|0|2|0|40|You get the first attack each brawl. Your first character has "<b>Slay:</b> +2 Attack permanently."|Regular|Hero||Slay
67|SBB_HERO_GWEN|True|Gwen|0|2|0|40|You start with <b>Knighthood</b>. (Permanently Upgrade a character.)|Regular|Hero||
68|SBB_HERO_MORGANLEFAY|True|Morgan le Fay|0|2|0|45|When your health drops to 20 or less, pick a treasure of your level. Pick again when you drop to 5 or less.|Regular|Hero||
69|SBB_HERO_CARDCHEAT|True|Pan's Shadow|0|2|0|45|When you reach level 4, level 2 and 3 characters no longer appear in your shop.|Regular|Hero||
70|SBB_HERO_OLDGRANNY|True|Grandmother|0|2|0|50|When you reach level 6, become the <b>Big Bad Wolf</b>. (Your characters have +5/+5.)|Regular|Hero||
71|SBB_HERO_SKIP,THETIMESKIPPER|True|Skip, the Time Skipper|0|2|0|40|You start with +2 XP and skip your first round.|Regular|Hero||
72|SBB_HERO_BIGDEAL|True|Xelhua|0|2|0|40|Your level 4, 5, and 6 characters only cost 3 Gold.|Regular|Hero||
73|SBB_HERO_CHARON|True|Charon|0|2|0|40|Give your first character that dies each brawl +2/+1 permanently.|Regular|Hero||
74|SBB_HERO_SIRGALAHAD|True|Sir Galahad|0|2|0|40|When you find a treasure, give your characters +1/+1 permanently.|Regular|Hero||
75|SBB_HERO_LOKI|True|Loki|0|2|0|40|Cast a random spell each round. (Instead of being able to buy spells)|Regular|Hero||
76|SBB_HERO_THECOLLECTOR|True|Celestial Tiger|0|2|0|40|Double the abilities of your level 2 and 3 treasures.|Regular|Hero||
77|SBB_HERO_MAIDMARIAN|True|Snow Angel|0|2|0|40|When you level up, get a random Good character of your level.|Regular|Hero||
78|SBB_HERO_MASK|True|Mask|0|2|0|40|When you reach level 3, you get two spells that let you pick a new hero.|Regular|Hero||
79|SBB_HERO_MILITARYLEADER|True|Trophy Hunter|0|2|0|40|Your <b>Last Breath</b> abilities are also <b>Slay</b> abilities.Your <b>Last Breath</b> characters have +2 Attack.|Regular|Hero||LastBreath - Slay
80|SBB_HERO_WONDERWADDLE|True|Wonder Waddle|0|2|0|40|You need just two copies to Upgrade level 2 Animals.|Regular|Hero||
81|SBB_HERO_FALLENANGEL|True|Fallen Angel|0|2|0|40|Your characters have +2 Attack if you start with three Evil characters, and +2 Health if you start with three Good characters.|Regular|Hero||
82|SBB_HERO_KINGLION|True|Mihri, King Lion|0|2|0|40|Your Royals have +1/+2 for each Royal you've Upgraded.|Regular|Hero||
83|SBB_HERO_BLACKKNIGHT|True|The Headless Horseman|0|2|0|40|You start with 3 <b>Kidnaps</b>. (Get an exact copy of the first enemy character that dies this brawl.)|Regular|Hero||
84|SBB_HERO_APOCALYPSE|True|Apocalypse|0|2|0|45|When you reach level 6, devour all your characters. Then fill your board with random level 6 characters.|Regular|Hero||
85|SBB_HERO_KINGMIDAS|True|King Midas|0|2|0|45|You only need two copies to Upgrade a character, but they don't give you a treasure.|Regular|Hero||
86|SBB_HERO_SHAREBEAR|True|Sharebear|0|2|0|40|After each brawl, you and your last opponent gain +1 gold.|Regular|Hero||
87|SBB_HERO_SEER|True|The Sphinx|0|2|0|45|When you cast a spell, it's free for the rest of the game.|Regular|Hero||
88|SBB_CHARACTER_WEEWILLIEWINKIE|True|Tiny|2|2|6|1||Regular|Character|Dwarf|
89|GOLDEN_SBB_CHARACTER_WEEWILLIEWINKIE|True|Tiny|2|2|12|2||Golden|Character|Dwarf|
90|SBB_CHARACTER_BADBILLYGRUFF|True|B-a-a-d Billy Gruff|2|2|2|3||Regular|Character|Evil - Animal|
91|GOLDEN_SBB_CHARACTER_BADBILLYGRUFF|True|B-a-a-d Billy Gruff|2|2|4|6||Golden|Character|Evil - Animal|
92|SBB_CHARACTER_FRIENDLYTREE|True|Happy Little Tree|2|2|1|1|I gain +2 Health permanently each round.|Regular|Character|Good - Treant|
93|GOLDEN_SBB_CHARACTER_FRIENDLYTREE|True|Happy Little Tree|2|2|2|2|I gain +4 Health permanently each round.|Golden|Character|Good - Treant|
94|SBB_CHARACTER_CATBURGLAR|True|Kitty Cutpurse|2|2|1|1|<b>Slay:</b> +1 Gold|Regular|Character|Evil - Animal|Slay
95|GOLDEN_SBB_CHARACTER_CATBURGLAR|True|Kitty Cutpurse|2|2|2|2|<b>Slay:</b> +2 Gold|Golden|Character|Evil - Animal|Slay
96|SBB_CHARACTER_BABYDRAGON|True|Baby Dragon|2|2|3|2|<b>Flying</b>|Regular|Character|Dragon|Flying
97|GOLDEN_SBB_CHARACTER_BABYDRAGON|True|Baby Dragon|2|2|6|4|<b>Flying</b>|Golden|Character|Dragon|Flying
98|SBB_CHARACTER_MADMADAMMIM|True|Mad Mim|2|2|0|3|<b>Support</b>: +3 Attack|Regular|Character|Evil - Mage|Support
99|GOLDEN_SBB_CHARACTER_MADMADAMMIM|True|Mad Mim|2|2|0|6|<b>Support:</b> +6 Attack|Golden|Character|Evil - Mage|Support
100|SBB_CHARACTER_BABYROOT|True|Baby Root|2|2|0|3|<b>Support:</b> +3 Health|Regular|Character|Good - Treant|Support
101|GOLDEN_SBB_CHARACTER_BABYROOT|True|Baby Root|2|2|0|6|<b>Support:</b> +6 Health|Golden|Character|Good - Treant|Support
102|SBB_CHARACTER_BLACKCAT|True|Black Cat|2|2|1|1|<b>Last Breath:</b> Summon a 1/1 Cat.|Regular|Character|Evil - Animal|LastBreath
103|GOLDEN_SBB_CHARACTER_BLACKCAT|True|Black Cat|2|2|2|2|<b>Last Breath:</b> Summon a 2/2 Cat.|Golden|Character|Evil - Animal|LastBreath
104|SBB_CHARACTER_BIGBOSS|True|Bossy|2|2|2|2|Your other Dwarves have +1/+1.|Regular|Character|Dwarf|
105|GOLDEN_SBB_CHARACTER_BIGBOSS|True|Bossy|2|2|4|4|Your other Dwarves have +2/+2.|Golden|Character|Dwarf|
106|SBB_CHARACTER_LONELYPRINCE|True|Lonely Prince|2|2|1|1|When you buy another Royal, it kisses me and I transform into a 5/5 Frog Prince.|Regular|Character|Good - Royal|
107|GOLDEN_SBB_CHARACTER_LONELYPRINCE|True|Lonely Prince|2|2|2|2|When you buy another Royal, it kisses me and I transform into a 10/10 Frog Prince.|Golden|Character|Good - Royal|
108|SBB_CHARACTER_WIZARD'SFAMILIAR|True|Wizard's Familiar|2|2|1|1|When you cast a spell, I gain +1/+1 permanently.|Regular|Character|Animal - Mage|
109|GOLDEN_SBB_CHARACTER_WIZARD'SFAMILIAR|True|Wizard's Familiar|2|2|2|2|When you cast a spell, I gain +2/+2 permanently.|Golden|Character|Animal - Mage|
110|SBB_CHARACTER_FOXTAILARCHER|True|Sherwood Sureshot|2|2|2|1|<b>Ranged</b>|Regular|Character|Good - Royal|Ranged
111|GOLDEN_SBB_CHARACTER_FOXTAILARCHER|True|Sherwood Sureshot|2|2|4|2|<b>Ranged</b>|Golden|Character|Good - Royal|Ranged
112|SBB_CHARACTER_HUMPTYDUMPTY|True|Humpty Dumpty|2|2|7|7|When I die, I can't be put back together again.|Regular|Character|Good - Egg|
113|GOLDEN_SBB_CHARACTER_HUMPTYDUMPTY|True|Humpty Dumpty|2|2|14|14|When I die, I can't be put back together again.|Golden|Character|Good - Egg|
114|SBB_CHARACTER_LABYRINTHMINOTAUR|True|Labyrinth Minotaur|2|2|5|1|Your other Evil characters have +1 Attack.|Regular|Character|Evil - Monster|
115|GOLDEN_SBB_CHARACTER_LABYRINTHMINOTAUR|True|Labyrinth Minotaur|2|2|10|2|Your other Evil characters have +2 Attack.|Golden|Character|Evil - Monster|
116|SBB_CHARACTER_HELPFULGODMOTHER|True|Rainbow Unicorn|2|2|1|5|Your other Good characters have +1 Health.|Regular|Character|Good - Animal|
117|GOLDEN_SBB_CHARACTER_HELPFULGODMOTHER|True|Rainbow Unicorn|2|2|2|10|Your other Good characters have +2 Health.|Golden|Character|Good - Animal|
118|SBB_CHARACTER_CINDER-ELLA|True|Cinder-Ella|2|2|2|2|<b>Quest:</b> Cast 4 spells.|Regular|Character|Royal - Mage|Quest
119|GOLDEN_SBB_CHARACTER_CINDER-ELLA|True|Cinder-Ella|2|2|4|4|<b>Quest:</b> Cast 4 spells.|Golden|Character|Royal - Mage|Quest
120|SBB_CHARACTER_BLINDMOUSE|True|Blind Mouse|2|2|2|2|Find 3 Blind Mice to get a level 4 treasure instead of level 2.|Regular|Character|Animal|
121|GOLDEN_SBB_CHARACTER_BLINDMOUSE|True|Blind Mouse|2|2|4|4| |Golden|Character|Animal|
122|SBB_CHARACTER_DWARVENARTIFICER|True|Crafty|2|2|2|2|+2/+2 for each Treasure you have.|Regular|Character|Dwarf|
123|GOLDEN_SBB_CHARACTER_DWARVENARTIFICER|True|Crafty|2|2|4|4|+4/+4 for each Treasure you have.|Golden|Character|Dwarf|
124|SBB_CHARACTER_THETOOTHFAIRY|True|Golden Chicken|2|2|2|2|I sell for 2 Gold.|Regular|Character|Animal|
125|GOLDEN_SBB_CHARACTER_THETOOTHFAIRY|True|Golden Chicken|2|2|4|4|I sell for 4 Gold.|Golden|Character|Animal|
126|SBB_CHARACTER_POLYWOGGLE|True|Polywoggle|2|2|1|1|<b>Slay:</b> I transform into a character that is one level higher than your hero.|Regular|Character|Animal|Slay
127|GOLDEN_SBB_CHARACTER_POLYWOGGLE|True|Polywoggle|2|2|2|2|<b>Slay:</b> I transform into an Upgraded character that is one level higher than your hero.|Golden|Character|Animal|Slay
128|SBB_SPELL_SHARDOFTHEICEQUEEN|True|Shard of the Ice Queen|0|2|0|0|Transform a Good character into a new random Evil character of the same level. Give it +1/+1 permanently.|Regular|Spell||
129|SBB_SPELL_FORBIDDENFRUIT|True|Forbidden Fruit|0|2|0|0|+1 Gold. Take 2 damage.|Regular|Spell|RandomSpell|
130|SBB_SPELL_SHRINKRAY|True|Shrink Ray|2|2|0|0|Reduce the cost of all characters in the shop by 1.|Regular|Spell|RandomSpell|
131|SBB_SPELL_FREEROLL|True|Free Roll|0|2|0|0|Roll.|Regular|Spell|RandomSpell|
132|SBB_SPELL_TESTYOURMIGHT|True|Magic Research|1|2|0|0|Give a character +1/+1 this brawl. If you win, this bonus is permanent.|Regular|Spell|RandomSpell - BeneficialSpell|
133|SBB_SPELL_EENIEMEENIEMINEYMO|True|Roll the Dice|2|2|0|0|Get a random character from the shop and give it +1/+1 permanently.|Regular|Spell|RandomSpell|
134|SBB_SPELL_SUGARANDSPICE|True|Sugar and Spice|1|2|0|0|Give a Good character +1/+1 permanently.|Regular|Spell|RandomSpell - BeneficialSpell|
135|SBB_SPELL_WITCH'SBREW|True|Witch's Brew|1|2|0|0|Give an Evil character +1/+1 permanently.|Regular|Spell|RandomSpell - BeneficialSpell|
136|SBB_SPELL_FORGLORY|True|For Glory!|1|2|0|0|Get a random character of your level if you win this brawl.|Regular|Spell|RandomSpell|
